name,email,phone,gpa,grade_class,ielts,toefl,pte,duolingo,funding_type,budget,intake_year,target_country,target_course,stage,source
Idris Sani,idris.sani0@example.com,+2348013356886,2.9,2:2,,,,,Scholarship,42000,2027/2028,UK,MSc Data Science,Application,Google Ads
Hauwa Okafor,hauwa.okafor1@example.com,+2348085329037,3.6,2:1,,,,136,Self-funded,11000,2028/2029,Australia,MSc Nursing,Comparing,Google Ads
Emeka Anyanwu,emeka.anyanwu2@example.com,+2348023718431,3.8,First,7.5,,,,None,8000,2027/2028,UK,MSc Economics,Comparing,TikTok Ads
Funke Ogundipe,funke.ogundipe3@example.com,+2348087490893,3.3,2:1,8.0,,,,Scholarship,26000,2026/2027,Australia,MSc Logistics,Researching,Google Ads
Rita Garba,rita.garba4@example.com,+2348038119557,2.8,2:2,,,,,Family,11000,2027/2028,Australia,MSc Pharmacy,Cold,TikTok Ads
Patience Lawal,patience.lawal5@example.com,+2348053524491,3.8,First,,101,,,Education loan,15000,2028/2029,Australia,Diploma,Cold,Referral
Tunde Akin,tunde.akin6@example.com,+2348028740864,3.5,2:1,,,,,Partial,22000,2026/2027,Canada,MSc Management,New enquiry,Meta Campaign
Bisi Eze,bisi.eze7@example.com,+2348024716857,3.6,2:1,,,79,,None,18000,2027/2028,UK,MSc Engineering,Cold,Organic
Bisi Effiong,bisi.effiong8@example.com,+2348096028436,3.0,2:2,,,,117,Sponsor,35000,2026/2027,Germany,MSc IT,Cold,Organic
Tobi Musa,tobi.musa9@example.com,+2348030513739,3.2,2:2,7.5,,,,Undecided,4000,2026/2027,USA,MSc IT,Evaluating,Meta Campaign
Victor Johnson,victor.johnson10@example.com,+2348021496211,2.3,Third,,,85,,Sponsor,18000,2027/2028,Ireland,MSc Mechanical Eng,Evaluating,Organic
Bisi Musa,bisi.musa11@example.com,+2348051837852,2.5,Third,6.0,,,,Scholarship,22000,2026/2027,Ireland,MSc Economics,Evaluating,Organic
Hauwa Bello,hauwa.bello12@example.com,+2348019528530,3.8,First,,82,,,Undecided,15000,2027/2028,Canada,MSc HR,Not sure,Referral
Victor Ekwueme,victor.ekwueme13@example.com,+2348064634663,3.6,2:1,7.5,,,,Scholarship,4000,2027/2028,Germany,MSc Nursing,Application,Google Ads
Zainab Musa,zainab.musa14@example.com,+2348081979055,2.7,Third,7.0,,,,None,8000,2026/2027,Germany,MSc Economics,Ready to apply,Meta Campaign
Bisi Okeke,bisi.okeke15@example.com,+2348032321899,2.2,Third,,,50,,Partial,18000,2029/2030,Australia,MSc IT,Considering,TikTok Ads
Yusuf Olawale,yusuf.olawale16@example.com,+2348030776478,3.7,2:1,,,,88,Self-funded,42000,2027/2028,Ireland,MSc Management,Shortlisting,Meta Campaign
Nnamdi Johnson,nnamdi.johnson17@example.com,+2348034941004,3.9,First,,,,,Family,42000,2027/2028,UK,MS Data Analytics,Application,Referral
Segun Udo,segun.udo18@example.com,+2348044999379,3.4,2:1,,,,114,Education loan,8000,2026/2027,Australia,MS Data Analytics,Not sure,Meta Campaign
Grace Obiora,grace.obiora19@example.com,+2348077898694,2.8,2:2,,,,95,Undecided,35000,2028/2029,USA,MS Data Analytics,Cold,Organic
Aisha Idris,aisha.idris20@example.com,+2348099038526,4.0,First,,,,,Sponsor,18000,2026/2027,Ireland,MSc Public Health,Unresponsive,Webinar
Emeka Akin,emeka.akin21@example.com,+2348077834855,2.6,Third,,,,87,Self-funded,22000,2029/2030,Canada,MSc Logistics,Comparing,Google Ads
Ekene Adebayo,ekene.adebayo22@example.com,+2348084045292,2.6,Third,,99,,,Self-funded,22000,2027/2028,Ireland,MS Finance,Considering,Google Ads
Fatima Idris,fatima.idris23@example.com,+2348058942697,4.0,First,,,,,Partial,42000,2028/2029,Canada,Foundation Business,Shortlisting,Google Ads
Musa Okafor,musa.okafor24@example.com,+2348034073380,3.1,2:2,,82,,,Sponsor,8000,2027/2028,UK,MSc Cybersecurity,Evaluating,Google Ads
Aminat Garba,aminat.garba25@example.com,+2348050962024,3.6,2:1,8.5,,,,Bank loan,22000,2028/2029,Ireland,Diploma,Cold,Organic
Halima Okafor,halima.okafor26@example.com,+2348025480907,2.9,2:2,,,72,,Education loan,26000,2027/2028,Ireland,MSc Engineering,Considering,Organic
Zainab Akin,zainab.akin27@example.com,+2348015957459,2.6,Third,,88,,,Partial,8000,2028/2029,USA,MS Data Analytics,Researching,TikTok Ads
Ibrahim Idris,ibrahim.idris28@example.com,+2348078064830,3.1,2:2,,91,,,Partial,48000,2028/2029,Canada,MS Data Analytics,Not sure,Webinar
Bukola Bello,bukola.bello29@example.com,+2348050785405,3.1,2:2,,,78,,Family,35000,2027/2028,Germany,MSc Marketing,Cold,Meta Campaign
Sadiq Anyanwu,sadiq.anyanwu30@example.com,+2348022534217,3.4,2:1,,95,,,Scholarship,30000,2027/2028,Germany,MSc HR,Evaluating,TikTok Ads
Obinna Balogun,obinna.balogun31@example.com,+2348076354180,2.7,Third,8.0,,,,Family,11000,2029/2030,Germany,MSc Management,New enquiry,Meta Campaign
Patience Okeke,patience.okeke32@example.com,+2348026288475,2.5,Third,,,,145,Undecided,42000,2029/2030,Germany,MSc Management,Considering,Organic
Femi Eteng,femi.eteng33@example.com,+2348073709724,2.7,Third,,,,,Undecided,48000,2026/2027,USA,MSc Biotech,Application,TikTok Ads
Sadiq Okeke,sadiq.okeke34@example.com,+2348046468984,2.9,2:2,,110,,,Family,8000,2027/2028,Australia,MSc Nursing,Just enquired,Referral
Musa Eze,musa.eze35@example.com,+2348037760841,2.2,Third,,,,,Partial,30000,2026/2027,USA,MSc IT,Considering,Referral
Sani Lawal,sani.lawal36@example.com,+2348075529051,3.5,2:1,,,60,,Undecided,11000,2027/2028,Ireland,MSc Data Science,Considering,Organic
Uche Okafor,uche.okafor37@example.com,+2348021267237,2.4,Third,,94,,,Education loan,22000,2029/2030,Australia,MSc Pharmacy,Considering,Webinar
Samuel Ekwueme,samuel.ekwueme38@example.com,+2348012601580,4.0,First,8.0,,,,Family,15000,2029/2030,UK,MS Data Analytics,Shortlisting,Google Ads
Ngozi Ekwueme,ngozi.ekwueme39@example.com,+2348099853245,3.9,First,,103,,,Scholarship,11000,2026/2027,UK,MSc HR,Ready to apply,Webinar
Uche Balogun,uche.balogun40@example.com,+2348063238057,3.6,2:1,,,,139,Scholarship,42000,2029/2030,UK,MSc AI,Just enquired,Referral
Segun Ogundipe,segun.ogundipe41@example.com,+2348019255216,3.0,2:2,,,,125,Undecided,11000,2027/2028,Canada,MSc Management,Cold,Webinar
Funke Ekwueme,funke.ekwueme42@example.com,+2348072394301,2.3,Third,6.5,,,,Undecided,15000,2029/2030,Australia,MSc HR,Not sure,TikTok Ads
Yakubu Anyanwu,yakubu.anyanwu43@example.com,+2348013852048,2.7,Third,,,,102,Bank loan,35000,2026/2027,Ireland,MSc Public Health,Application,Google Ads
Yusuf Aliyu,yusuf.aliyu44@example.com,+2348075575808,3.6,2:1,6.5,,,,Partial,15000,2026/2027,Germany,MSc HR,Researching,Referral
Patience Garba,patience.garba45@example.com,+2348067110154,3.0,2:2,,85,,,Scholarship,35000,2029/2030,Germany,MSc Marketing,Evaluating,Google Ads
Ekene Ekwueme,ekene.ekwueme46@example.com,+2348047111151,2.9,2:2,,,,85,None,11000,2026/2027,UK,MSc Computer Science,Just enquired,Webinar
